EL CERRILLO VISTA HERMOSA - 44 - TERRA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,,Solicitud Atendida,,fechaRealizado,,CALLE,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
TERRA,44,,440046,,,,15/6/2026,,RIO LERMA ,AGUSTIN MELGAR ,IGNACIO ALLENDE ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321195, -99.543002",SUPERFICIAL,0.07,2.02,1.76,3.56
TERRA,44,,440047,,,,15/6/2026,,RIO LERMA ,AGUSTIN MELGAR ,IGNACIO ALLENDE ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321204, -99.543006",SUPERFICIAL,0.07,4.57,1.04,4.75
TERRA,44,,440048,,,,15/6/2026,,RIO LERMA ,JOSE ,16 DE SEPTIEMBRE ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321215, -99.543010",SUPERFICIAL,0.07,1.50,1.43,2.15
TERRA,44,,440049,,,,15/6/2026,,RIO LERMA ,JOSE ,17 DE SEPTIEMBRE,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321320, -99.541826",SUPERFICIAL,0.07,1.51,1.30,1.96
TERRA,44,,440050,,,,15/6/2026,,RIO LERMA ,JOSE ,17 DE SEPTIEMBRE ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321320, -99.541826",SUPERFICIAL,0.07,10.50,0.62,6.51
TERRA,44,,440051,,,,15/6/2026,,RIO LERMA ,JOSE ,19 DE SEPTIEMBRE ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321752, -99.540301",SUPERFICIAL,0.07,1.78,1.25,2.23
TERRA,44,,440053,,,,15/6/2026,,RIO LERMA ,JOSE ,20 DE SEPTIEMBRE ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321900, -99.539866",SUPERFICIAL,0.07,2.66,1.45,3.86
TERRA,44,,440054,,,,15/6/2026,,RIO LERMA ,PRIV. EL CEDRO ,19 DE MARZO ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321928, -99.539809",SUPERFICIAL,0.07,1.34,0.89,1.19
TERRA,44,,440055,,,,15/6/2026,,RIO LERMA ,PRIV. EL CEDRO ,20 DE MARZO,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.322588, -99.538192",SUPERFICIAL,0.07,3.10,2.65,8.22
TERRA,44,,440056,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.322583, -99.538183",SUPERFICIAL,0.07,2.39,1.73,4.13
TERRA,44,,440059,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.322633, -99.537307",SUPERFICIAL,0.07,2.78,2.38,6.62
TERRA,44,,440060,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.322055, -99.537148",SUPERFICIAL,0.07,2.39,1.73,4.13
TERRA,44,,440067,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320734, -99.537888",SUPERFICIAL,0.07,0.00,0.00,0.00
TERRA,44,,440068,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320835, -99.537515",SUPERFICIAL,0.07,4.40,3.75,16.50
TERRA,44,,440069,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320840, -99.537520",SUPERFICIAL,0.07,4.40,3.75,16.50
TERRA,44,,440070,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320830, -99.537517",PROFUNDO,0.10,3.12,2.70,8.42
TERRA,44,,440071,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320837, -99.537527",PROFUNDO,0.10,3.12,2.70,8.42
TERRA,44,,440072,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320741, -99.537868",PROFUNDO,0.10,3.12,2.70,8.42
TERRA,44,,440073,,,,15/6/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320734, -99.537866",PROFUNDO,0.10,3.12,2.70,8.42
,,,,5,,,,,,,,,,,,,,,
TERRA,44,,440057,,,,20/4/2026,,RIO LERMA ,PRIV. EL CEDRO,19 DE MARZO,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.322487, -99.538283",SUPERFICIAL,0.07,2.01,1.33,2.67
TERRA,44,,440058,,,,20/4/2026,,RIO LERMA ,19 DE MARZO,S/N,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.322755, -99.537902",SUPERFICIAL,0.07,1.68,0.97,1.63
TERRA,44,,440061,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.322033, -99.537121",SUPERFICIAL,0.07,2.45,2.35,5.76
TERRA,44,,440062,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321986, -99.537105",SUPERFICIAL,0.07,5.22,1.14,5.95
TERRA,44,,440063,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321823, -99.537524",SUPERFICIAL,0.07,1.43,1.14,1.63
TERRA,44,,440064,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321814, -99.537567",SUPERFICIAL,0.07,1.55,1.30,2.02
TERRA,44,,440065,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321809, -99.537588",SUPERFICIAL,0.07,1.64,1.15,1.89
TERRA,44,,440066,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321787, -99.537715",SUPERFICIAL,0.07,1.35,0.85,1.15
TERRA,44,,440074,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321765, -99.537746",SUPERFICIAL,0.07,1.13,0.97,1.10
TERRA,44,,440075,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321614, -99.537698",SUPERFICIAL,0.07,5.84,0.95,5.55
TERRA,44,,440076,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321539, -99.537659",SUPERFICIAL,0.07,1.68,1.41,2.37
TERRA,44,,440077,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320812, -99.537561",PROFUNDO,0.10,2.76,2.70,7.45
TERRA,44,,440078,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320812, -99.537561",PROFUNDO,0.10,2.76,2.70,7.45
TERRA,44,,440079,,,,20/4/2026,,RIO CONSULADO ,RIO LERMA ,AUTOPISTA TOLUCA NAUCALPAN ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.320808, -99.537560",PROFUNDO,0.10,3.45,3.00,10.35
