UNIVERSIDAD - 07 - DOMAJA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,OBSERVACIONES,Solicitud Atendida,,fechaRealizado,,calle,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
DOMAJA ,07,,070046,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277328, -99.650650",PROFUNDO,0.10,1.65,3.62,5.97
DOMAJA ,07,,070047,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277328, -99.650650",PROFUNDO,0.10,1.18,2.23,2.63
DOMAJA ,07,,070048,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277309, -99.650597",PROFUNDO,0.10,1.14,1.17,1.33
DOMAJA ,07,,070049,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277122, -99.650513",PROFUNDO,0.10,1.00,1.30,1.30
DOMAJA ,07,,070050,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277138, -99.650620",PROFUNDO,0.10,1.43,2.38,3.40
DOMAJA ,07,,070051,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277153, -99.650627",PROFUNDO,0.10,3.78,1.84,6.96
DOMAJA ,07,,070052,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277000, -99.650505",PROFUNDO,0.10,2.20,1.74,3.83
DOMAJA ,07,,070053,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277115, -99.650551",PROFUNDO,0.10,3.37,2.66,8.96
DOMAJA ,07,,070054,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.276602, -99.650406",PROFUNDO,0.10,1.42,1.36,1.93
DOMAJA ,07,,070055,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.276602, -99.650406",PROFUNDO,0.10,2.45,2.74,8.99
DOMAJA ,07,,070056,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.276365, -99.650276",PROFUNDO,0.10,2.90,3.10,8.99
DOMAJA ,07,,070057,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.276365, -99.650276",PROFUNDO,0.10,2.22,2.33,5.17
DOMAJA ,07,,070058,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.276157, -99.650993",PROFUNDO,0.10,0.97,0.99,0.96
DOMAJA ,07,,070059,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.276796, -99.650482",PROFUNDO,0.10,2.75,3.40,9.35
DOMAJA ,07,,070060,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.276377, -99.650200",PROFUNDO,0.10,2.60,2.18,5.67
DOMAJA ,07,,070061,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.274506, -99.649399",PROFUNDO,0.10,1.72,2.16,3.72
